SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$002100,8448,INIDISP,"""Screen Display Register""",UNUSED
$002101,8449,OBSEL,"""Object Size and Character Size Register""",UNUSED
$002102,8450,OAMADDL,"""OAM Address Registers (Low)""",UNUSED
$002103,8451,OAMADDH,"""OAM Address Registers (High)""",UNUSED
$002104,8452,OAMDATA,"""OAM Data Write Register""",UNUSED
$002105,8453,BGMODE,"""BG Mode and Character Size Register""",UNUSED
$002106,8454,MOSAIC,"""Mosaic Register""",UNUSED
$002107,8455,BG1SC,"""BG Tilemap Address Registers (BG1)""",UNUSED
$002108,8456,BG2SC,"""BG Tilemap Address Registers (BG2)""",UNUSED
$002109,8457,BG3SC,"""BG Tilemap Address Registers (BG3)""",UNUSED
$00210A,8458,BG4SC,"""BG Tilemap Address Registers (BG4)""",UNUSED
$00210B,8459,BG12NBA,"""BG Character Address Registers (BG1&2)""",UNUSED
$00210C,8460,BG34NBA,"""BG Character Address Registers (BG3&4)""",UNUSED
$00210D,8461,BG1HOFS,"""BG Scroll Registers (BG1)""",UNUSED
$00210E,8462,BG1VOFS,"""BG Scroll Registers (BG1)""",UNUSED
$00210F,8463,BG2HOFS,"""BG Scroll Registers (BG2)""",UNUSED
$002110,8464,BG2VOFS,"""BG Scroll Registers (BG2)""",UNUSED
$002111,8465,BG3HOFS,"""BG Scroll Registers (BG3)""",UNUSED
$002112,8466,BG3VOFS,"""BG Scroll Registers (BG3)""",UNUSED
$002113,8467,BG4HOFS,"""BG Scroll Registers (BG4)""",UNUSED
$002114,8468,BG4VOFS,"""BG Scroll Registers (BG4)""",UNUSED
$002115,8469,VMAIN,"""Video Port Control Register""",UNUSED
$002116,8470,VMADDL,"""VRAM Address Registers (Low)""",UNUSED
$002117,8471,VMADDH,"""VRAM Address Registers (High)""",UNUSED
$002118,8472,VMDATAL,"""VRAM Data Write Registers (Low)""",UNUSED
$002119,8473,VMDATAH,"""VRAM Data Write Registers (High)""",UNUSED
$00211A,8474,M7SEL,"""Mode 7 Settings Register""",UNUSED
$00211B,8475,M7A,"""Mode 7 Matrix Registers""",UNUSED
$00211C,8476,M7B,"""Mode 7 Matrix Registers""",UNUSED
$00211D,8477,M7C,"""Mode 7 Matrix Registers""",UNUSED
$00211E,8478,M7D,"""Mode 7 Matrix Registers""",UNUSED
$00211F,8479,M7X,"""Mode 7 Matrix Registers""",UNUSED
$002120,8480,M7Y,"""Mode 7 Matrix Registers""",UNUSED
