SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$00FFE4,65508,Native_COP,,USED
$00FFFE,65534,Emulation_RESET,,USED
$008000,32768,CODE_008000,,USED
$008016,32790,CODE_008016,,USED
$008023,32803,CODE_008023,,USED
$00803A,32826,CODE_00803A,,USED
$00804D,32845,CODE_00804D,,USED
$00806E,32878,CODE_00806E,,USED
$0080A8,32936,CODE_0080A8,,USED
$0080AD,32941,CODE_0080AD,,USED
$0080DC,32988,CODE_0080DC,,USED
$008117,33047,CODE_008117,,USED
$008166,33126,CODE_008166,,USED
$00818E,33166,CODE_00818E,,USED
$0081D5,33237,UNREACH_0081D5,,USED
$0081D6,33238,UNREACH_0081D6,,USED
$0081D8,33240,UNREACH_0081D8,,USED
$0081D9,33241,UNREACH_0081D9,,USED
$0081DB,33243,UNREACH_0081DB,,USED
$0081F0,33264,CODE_0081F0,,USED
$008227,33319,CODE_008227,,USED
$008230,33328,CODE_008230,,USED
$008247,33351,CODE_008247,,USED
$00825C,33372,CODE_00825C,,USED
$008366,33638,CODE_008366,,USED
$008377,33655,CODE_008377,,USED
$00837A,33658,CODE_00837A,,USED
$00837D,33661,CODE_00837D,,USED
$008385,33669,CODE_008385,,USED
$0083A8,33704,CODE_0083A8,,USED
$0083D3,33747,CODE_0083D3,,USED
$0083DD,33757,CODE_0083DD,,USED
$0083E8,33768,CODE_0083E8,,USED
$00841A,33818,CODE_00841A,,USED
$008428,33832,CODE_008428,,USED
$008476,33910,CODE_008476,,USED
$008479,33913,CODE_008479,,USED
$0084EB,34027,CODE_0084EB,,USED
$0084F8,34040,CODE_0084F8,,USED
$008504,34052,CODE_008504,,USED
$008520,34080,CODE_008520,,USED
$008542,34114,CODE_008542,,USED
$008543,34115,CODE_008543,,USED
$008577,34167,CODE_008577,,USED
$0085B7,34231,CODE_0085B7,,USED
$00862D,34349,CODE_00862D,,USED
$00863C,34364,CODE_00863C,,USED
$00863D,34365,CODE_00863D,,USED
$00869D,34461,CODE_00869D,,USED
$0086F3,34547,CODE_0086F3,,USED
$008751,34641,CODE_008751,,USED
$00876C,34668,CODE_00876C,,USED
$00876F,34671,CODE_00876F,,USED
$0087CE,34766,CODE_0087CE,,USED
$0087F4,34804,CODE_0087F4,,USED
