Cypress Stick
Club
Copper Sword
Sacred Knife
Iron Spear
Iron Axe
Steel Sword
Wizard Staff
Poison Dagger
Iron Claws
Spiny Whip
Giant Shears
Chain Sickle
Thor Sword
Frost Blade
Demon Axe
Rain Staff
Gaia Sword
Staff of Reflection
Sword of Destruction
Double-Edged
Force Staff
Sword of Seduction
Zombie Killer
Falcon Sword
Giant Hammer
Golden Claws
Thunder Sword
Bolt Staff
King's Sword
Orochi Sword
Dragon Killer
Staff of Judgment
Steel Whip
Chain Whip
Gringham Whip
Morning Star
Boomerang
Bladerang
Flamerang
Wrecking Flail
Iron Abacus
Magic Abacus
Justice Abacus
Bastard Sword
Rune Staff
Sage Staff
Sleep Staff
Assassin Dagger
Holy Spear
Power Knuckle
Dragon Claw
Beast Claw
Bronze Knife
Steel Needle
Mist Staff
Vivify Staff
Battle Axe
War Hammer
Dragon Tail
Clothes
Training Suit
Leather Armor
Flashy Suit
Iron Armor
Steel Armor
Magic Armor
Cloak of Evasion
Light Armor
Iron Apron
Plush Suit
Fighting Suit
Magic Robe
Devil's Armor
Water Dress
Chain Mail
Traveler Clothes
Tight Bikini
Magic Bikini
Shell Armor
Terra Armor
Dragon Mail
Blade Armor
Angel Robe
Turtle Shell
Leather Kilt
Leather Dress
Boxer Shorts
Magical Skirt
Light Dress
Dragon Robe
Black Coat
Silk Robe
Magic Apron
Slick Suit
Party Dress
Dark Outfit
Mystery Bolero
Sacred Bikini
Ninja Suit
Leather Shield
Iron Shield
Heal Shield
Hero Shield
Sorrow Shield
Bronze Shield
Silver Shield
Scale Shield
Magic Shield
Dragon Shield
Expel Shield
Pot Lid Shield
Ogre Shield
Golden Crown
Iron Helmet
Magic Hat
Misery Helmet
Ortega's Helmet
Turban
All-knowing Mask
Leather Hat
Iron Mask
Wooden Helmet
Fur Hood
Silver Barrette
Great Helm
Black Hood
Bunny Ears
Silk Hat
Mythril Helmet
Horned Hat
Sacred Talisman
Wizard Ring
Lucky Shoes
Starry Ring
Zen Book
Crystal Ball
Life Ring
Strength Ring
Rabbit's Foot
Gale Bandana
Stone Wig
Garter Belt
Mohawk Wig
Ruby Ring
Angry Tattoo
Hero Ring
Smart Glasses
Silver Rosary
Pacifier
Rockstar Ring
Gold Necklace
Speed Ring
Power Belt
Golden Beak
Golden Tiara
Slime Earrings
Benevolent Ring
Flee Ring
Hard Heart
Tube Socks
Black Pepper
Sage's Stone
Mirror of Ra
Thirsty Pitcher
Darkness Lamp
Change Staff
Life Stone
Invisible Herb
Magic Ball
Thief Key
Magic Key
Final Key
Dream Ruby
Wake-Up Powder
King's Letter
Orichalcum
Strength Seed
Agility Seed
Stamina Seed
Luck Seed
Wisdom Seed
Life Nut
Medical Herb
Antidote Herb
Holy Water
Wing of Wyvern
Yggdrasil Leaf
Death Music Box
Lovely Memories
Full Moon Herb
Squirt Gun
Sailor's Bone
Echo Flute
Fairy Flute
Silver Harp
Light Orb
Moth Powder
Spider Web
Sun Stone
Rainbow Drop
Silver Orb
Red Orb
Yellow Orb
Purple Orb
Blue Orb
Green Orb
Small Medal
Magic Map
Fairy Map
Gold Pass
Goddess Ring
Mystic Nut
Kindly Book
Wimpy Book
Lady Manual
Smart Book
Muscle Guidebook
Hero Guide
Lucky Book
Tomboy Book
Tragic Tale
Brave Book
Defy Book
Joke Book
Naughty Book
Cheater Guide
Pachisi Ticket










